                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.73303,                0.78053,                0.91261,                0.99612,                      1,                  0.995,                0.79966,                 0.8011,                 0.5705,                 1.0044,              0.0012179,              0.0012179,              0.0012179
                     82,                0.73798,                0.75677,                0.93159,                0.99582,                      1,                  0.995,                0.78032,                0.85602,                0.60704,                 1.0188,               0.001208,               0.001208,               0.001208
                     83,                0.70082,                0.74761,                0.87371,                0.99521,                      1,                  0.995,                 0.7605,                0.89438,                 0.6277,                 1.0529,              0.0011981,              0.0011981,              0.0011981
                     84,                0.74589,                0.77011,                0.91554,                0.99453,                      1,                  0.995,                0.75918,                0.93723,                0.63185,                 1.1279,              0.0011882,              0.0011882,              0.0011882
                     85,                0.81005,                0.79034,                0.93081,                0.99413,                      1,                  0.995,                0.76343,                0.89703,                0.64354,                 1.1006,              0.0011783,              0.0011783,              0.0011783
                     86,                0.85523,                0.76258,                0.96019,                0.99394,                      1,                  0.995,                0.79263,                0.87237,                0.64242,                 1.0343,              0.0011684,              0.0011684,              0.0011684
                     87,                0.73294,                 0.7472,                0.89286,                 0.9952,                      1,                  0.995,                0.79677,                0.90755,                0.64083,                 1.0332,              0.0011585,              0.0011585,              0.0011585
                     88,                0.77799,                0.76109,                0.92948,                0.99455,                      1,                  0.995,                0.78946,                0.87901,                0.62083,                  1.024,              0.0011486,              0.0011486,              0.0011486
                     89,                0.72411,                0.73296,                0.89242,                0.98047,                      1,                  0.995,                0.76594,                  0.891,                0.59621,                 1.0441,              0.0011387,              0.0011387,              0.0011387
                     90,                 0.7633,                0.72942,                0.89392,                0.94065,                      1,                0.99222,                 0.7407,                0.91994,                0.60437,                 1.0601,              0.0011288,              0.0011288,              0.0011288
                     91,                 0.7798,                0.73758,                0.90269,                0.94073,                      1,                0.99222,                0.73427,                0.90283,                0.59116,                  1.054,              0.0011189,              0.0011189,              0.0011189
                     92,                0.72389,                0.69256,                0.85819,                0.99546,                      1,                  0.995,                0.74135,                0.84327,                0.55918,                 1.0195,               0.001109,               0.001109,               0.001109
                     93,                 0.6785,                0.70313,                0.86174,                0.99548,                      1,                  0.995,                0.79302,                0.78483,                0.53966,                0.99583,              0.0010991,              0.0010991,              0.0010991
                     94,                0.73882,                0.74136,                0.92017,                0.99586,                      1,                  0.995,                0.79567,                0.80683,                 0.5516,                 1.0032,              0.0010892,              0.0010892,              0.0010892
                     95,                0.69722,                0.65474,                0.87396,                0.99628,                      1,                  0.995,                0.78351,                0.82494,                0.53383,                0.99985,              0.0010793,              0.0010793,              0.0010793
                     96,                0.71707,                0.68149,                0.89803,                0.99562,                      1,                  0.995,                0.78772,                0.83764,                0.53982,                 1.0194,              0.0010694,              0.0010694,              0.0010694
                     97,                0.73328,                0.66203,                0.91562,                0.99584,                      1,                  0.995,                0.77605,                0.81426,                0.54199,                 1.0333,              0.0010595,              0.0010595,              0.0010595
                     98,                0.69121,                0.67747,                0.90043,                0.99568,                      1,                  0.995,                0.78245,                0.77572,                0.54454,                 1.0103,              0.0010496,              0.0010496,              0.0010496
                     99,                0.63454,                0.64037,                0.88316,                0.99537,                      1,                  0.995,                0.80304,                0.81129,                0.55837,                 1.0163,              0.0010397,              0.0010397,              0.0010397
